Research Title,Disease Name,Year,Vegetable/Instance,Resource Link
"Deep Learning for Tomato Disease Detection","Multiple",2025,"Tomato","https://arxiv.org/abs/2501.05449"
"Comparative Analysis of Tomato Disease Detection Algorithms","Multiple",2024,"Tomato","https://arxiv.org/abs/2412.07872"
"Tomato Disease Classification Using Convolutional Networks","Multiple",2024,"Tomato","https://arxiv.org/abs/2410.00062"
"Novel Feature Extraction for Tomato Leaf Disease Identification","Multiple",2024,"Tomato","https://arxiv.org/abs/2402.03347"
"Enhanced Accuracy in Tomato Disease Recognition","Multiple",2023,"Tomato","https://arxiv.org/abs/2312.16331"
"Multi-Stage Approach for Tomato Disease Detection","Multiple",2023,"Tomato","https://arxiv.org/abs/2311.02338"
"Robust Tomato Disease Identification Using Ensemble Methods","Multiple",2023,"Tomato","https://arxiv.org/abs/2306.06080"
"Tomato Leaf Disease Dataset A","Multiple",2021,"Tomato","https://data.mendeley.com/datasets/zfv4jj7855/1"
"Tomato Disease Images Dataset B","Multiple",2021,"Tomato","https://data.mendeley.com/datasets/462s4m8w8k/1"
"Tomato Diseases","Multiple",2020,"Tomato","https://www.kaggle.com/datasets/luisolazo/tomato-diseases/versions/2"
"Tomato Leaf Disease Dataset C","Multiple",2020,"Tomato","https://data.mendeley.com/datasets/7ghdbftp54/1"
"Tomato Diseases","Multiple",2020,"Tomato","https://www.kaggle.com/datasets/luisolazo/tomato-diseases"
"Tomato Disease Dataset D","Multiple",2020,"Tomato","https://data.mendeley.com/datasets/2ksdzxdvbm/1"
"Tomato Disease Image Dataset E","Multiple",2020,"Tomato","https://data.mendeley.com/datasets/3kwgxg4stb/1"
"Tomato Disease Dataset F","Multiple",2020,"Tomato","https://data.mendeley.com/datasets/wtxcw8wpxb/2"
"Tomato Leaf Diseases for Object Detection","Multiple",2021,"Tomato","https://www.kaggle.com/datasets/sebastianpalaciob/tomato-leaf-diseases-dataset-for-object-detection"
"Tomato Disease Analysis","Multiple",2023,"Tomato","https://pubmed.ncbi.nlm.nih.gov/39507599/"
"Tomato Disease Detection using Deep Neural Networks","Multiple",2025,"Tomato","https://arxiv.org/abs/2501.03305"
"Tomato Disease Classification Based on Image Processing Techniques","Multiple",2024,"Tomato","https://link.springer.com/article/10.1007/s42452-024-06233-1"
"Tomato Leaf","Multiple",2020,"Tomato","https://www.kaggle.com/datasets/kaustubhb999/tomatoleaf"
"Leaf Disease Dataset Combination","Multiple",2021,"Multiple","https://www.kaggle.com/datasets/asheniranga/leaf-disease-dataset-combination"
"Potato Leaf Disease Dataset","Multiple",2020,"Potato","https://www.kaggle.com/datasets/muhammadardiputra/potato-leaf-disease-dataset"
"Cucumber Plant Diseases Dataset","Multiple",2020,"Cucumber","https://www.kaggle.com/datasets/kareem3egm/cucumber-plant-diseases-dataset"
"Pepper Disease Classification","Multiple",2021,"Pepper","https://www.kaggle.com/code/longqua69/pepper-disease-classification"
"Brinjal Leaf Disease Detection","Multiple",2021,"Brinjal","https://www.kaggle.com/datasets/meghnateli/brinjal-leaf-disease-detection"
